Position in alignment, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI,Bottom
1,0,0,0,0,0,0
3,0.8206201,0.9228217,0,0.421387,0,0
5,0.9177571,0.9228283,0,0.4218889,0,0
7,1.014894,0.9228349,0,0.4223908,0,0
9,1.112031,0.9228414,0,0.4228927,0,0
11,1.209168,0.922848,0,0.4233946,0,0
13,1.306305,0.9228546,0,0.4275188,0,0
15,1.411017,0.9228612,0,0.4361201,0,0
17,1.523304,0.9228678,0,0.4447214,0,0
19,1.654489,0.9228743,0,0.4533227,0,0
21,1.789773,0.9228809,0,0.4619241,0,0
23,1.960037,0.9228875,0,0.4705254,0,0
25,2.151094,0.9231144,0,0.4791267,0,0
27,2.327964,0.9235618,0,0.4838202,0,0
29,2.404752,0.9240091,0,0.4849531,0,0
31,2.481539,0.9244565,0,0.4860861,0,0
33,2.558327,0.9249038,0,0.513532,0,0
35,2.635115,0.9253511,0,0.5221334,0,0
37,2.764136,0.9257973,0,0.5599557,0,0
39,2.860416,0.9262424,0,0.5857976,0,0
41,2.871721,1.04853,0,0.5867299,0,0
43,2.883026,1.094536,0,0.5876622,0,0
45,2.894331,1.094916,0,0.5885944,0,0
47,2.905636,1.095297,0,0.5895268,0,0
49,2.91694,1.095677,0,0.5952289,0,0
51,2.95058,1.096057,0,0.6058078,0,0
53,3.001872,1.096437,0,0.6163868,0,0
55,3.036413,1.097076,0,0.6989232,0,0
57,3.053986,1.097973,0,0.7147272,0,0
59,3.071725,1.09887,0,0.7761834,0,0
61,3.089463,1.099767,0,0.8135151,0,0
63,3.10593,1.100661,0,0.8432251,0,0
65,3.11941,1.118747,0,0.8780628,0,0
67,3.127749,1.140422,0,0.8800817,0,0
69,3.136089,1.162096,0,0.9318358,0,0
71,3.142012,1.177026,0,0.9440196,0,0
73,3.145519,1.18521,0,0.963082,0,0
75,3.149022,1.193395,0,0.9708092,0,0
77,3.152516,1.201579,0,0.9724785,0,0
79,3.15601,1.209764,0,0.9741479,0,0
81,3.159782,1.217948,0,0.9758172,0,0
83,3.163555,1.226133,0,1.011318,0,0
85,3.16792,1.236552,0,1.020871,0,0
87,3.171256,1.243307,0,1.063765,0,0
89,3.174905,1.249524,0,1.079055,0,0
91,3.178867,1.255205,0,1.084561,0,0
93,3.18283,1.260886,0,1.090067,0,0
95,3.18706,1.266567,0,1.095597,0,0
97,3.19129,1.272248,0,1.101127,0,0
99,3.200656,1.277829,0,1.108708,0,0
101,3.210245,1.28341,0,1.11227,0,0
103,3.215346,1.288991,0,1.115409,0,0
105,3.220439,1.294572,0,1.117051,0,0
107,3.225509,1.407145,0,1.117766,0,0
109,3.23058,1.573778,0,1.118482,0,0
111,3.247177,1.675658,0,1.120356,0,0
113,3.255063,1.712455,0,1.141908,0,0
115,3.262949,1.749253,0,1.14292,0,0
117,3.270835,1.78605,0,1.143932,0,0
119,3.278721,1.822847,0,1.144944,0,0
121,3.287579,1.859663,0,1.145956,0,0
123,3.297409,1.896497,0,1.146968,0,0
125,3.30724,1.93333,0,1.147979,0,0
127,3.327078,1.952836,0,1.148991,0,0
129,3.339592,1.976633,0,1.150003,0,0
131,3.346262,2.013741,0,1.151163,0,0
133,3.352932,2.050848,0,1.152323,0,0
135,3.359602,2.087955,0,1.153469,0,0
137,3.366271,2.088996,0,1.154614,0,0
139,3.372941,2.089227,0,1.15576,0,0
141,3.379611,2.089458,0,1.156905,0,0
143,3.386327,2.089689,0,1.15805,0,0
145,3.393084,2.090021,0,1.172194,0,0
147,3.421422,2.090062,0,1.193547,0,0
149,3.449746,2.090104,0,1.206158,0,0
151,3.47807,2.090145,0,1.21877,0,0
153,3.506395,2.090187,0,1.231381,0,0
155,3.534719,2.090228,0,1.243993,0,0
157,3.563044,2.090595,0,1.285115,0,0
159,3.592867,2.078609,0,1.297884,3.82E-06,0
161,3.622687,2.070611,0,1.29285,7.64E-06,0
163,3.652507,2.068261,0,1.294438,1.15E-05,0
165,3.682325,2.067572,0,1.297135,1.53E-05,0
167,3.711425,2.067509,0,1.299832,1.91E-05,0
169,3.739805,2.067445,0,1.302529,2.29E-05,0
171,3.786446,2.067382,0,1.305225,4.70E-05,0
173,3.833087,2.067318,0,1.307922,4.70E-05,0
175,3.879729,2.067255,0,1.310619,5.04E-05,0
177,3.92637,2.063477,0,1.313316,5.60E-05,0
179,3.972423,2.059699,0,1.317139,6.16E-05,0
181,4.018742,2.055921,0,1.338424,9.57E-05,0
183,4.064805,2.051787,0,1.354506,9.83E-05,0
185,4.111157,2.047372,0,1.394747,1.01E-04,0
187,4.139294,2.043033,0,1.402651,1.04E-04,0
189,4.167528,2.038693,0,1.403296,1.06E-04,0
191,4.131207,2.032184,0,1.403942,1.09E-04,0
193,4.094886,2.025675,0,1.404588,1.12E-04,0
195,4.058565,2.019166,0,1.405233,1.14E-04,0
197,4.022411,2.00718,0,1.401542,1.17E-04,0
